Searching for all records on 2026-02-10:
Total rows today: 654

Date: 2026-02-10 00:00:00, Part: 14201201213A, Target: 150, Comp: 25, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201213A, Target: 150, Comp: 25, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201213A, Target: 150, Comp: 25, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201213A, Target: 150, Comp: 25, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201200609A, Target: 200, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201200609A, Target: 200, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201200609A, Target: 200, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201200609A, Target: 200, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201200609A, Target: 200, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201200609A, Target: 200, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201200609A, Target: 200, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201200609A, Target: 200, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201200609A, Target: 200, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201200609A, Target: 200, Comp: 36, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201337A, Target: 228, Comp: 136, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201337A, Target: 228, Comp: 136, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201337A, Target: 228, Comp: 136, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201337A, Target: 228, Comp: 136, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201337A, Target: 228, Comp: 136, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201337A, Target: 228, Comp: 136, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201337A, Target: 228, Comp: 136, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201337A, Target: 228, Comp: 136, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201337A, Target: 228, Comp: 136, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201337A, Target: 228, Comp: 136, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201409A, Target: 333, Comp: 175, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201409A, Target: 333, Comp: 175, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201409A, Target: 333, Comp: 175, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201409A, Target: 333, Comp: 175, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201409A, Target: 333, Comp: 175, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201409A, Target: 333, Comp: 175, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201201409A, Target: 333, Comp: 175, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201100068A, Target: 310, Comp: 249, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201100068A, Target: 310, Comp: 249, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201100068A, Target: 310, Comp: 249, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201100068A, Target: 310, Comp: 249, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201100068A, Target: 310, Comp: 249, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201100068A, Target: 310, Comp: 249, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201100068A, Target: 310, Comp: 249, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201100068A, Target: 310, Comp: 249, CP: P1
